step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
12,1763782961.7919369,22.497657775878906,3.8694777488708496,7.624485492706299,2.6501243114471436,8.353569030761719,14.885036182403564,3.852559471130371,47.91735465246917,5.582476359126165,47.11349868774414,5.558068443729594,0.03125,0,1.7538926601409912,0,0.23180245608091354,0,0.09272098243236543,0.23180245608091354,19.490877233401044,19.488723754882812,0.00011262491486801961,251.28588390350342,1.0187599718029001
13,1763784865.7416942,20.465576171875,3.9797043800354004,7.237819194793701,2.7525370121002197,6.495516777038574,,,53.50121586195488,5.741499773281159,,,0.0312500037252903,0,1.8688629865646362,0,0.2271212786436081,0,0.09084851145744324,0.2271212786436081,17.604735416885863,17.583362579345703,0.0002578736768945904,252.7584934234619,1.0128245208801248
14,1763785121.0105536,19.930044174194336,3.8160548210144043,7.734718322753906,2.652813673019409,5.726457118988037,15.299641609191895,3.7547770500183106,45.42464599218824,5.5054033660379025,42.72468948364258,5.416998229705108,0.03125,0,1.7974796295166016,0,0.22196395695209503,0,0.08878558278083802,0.22196395695209503,16.6671664006795,16.66008758544922,0.0008169918482455274,255.2668581008911,1.0028720606527743
15,1763787028.2588444,19.87635612487793,3.817091941833496,7.61485481262207,2.6242496967315674,5.820159912109375,,,45.47178127651399,5.506899615100409,,,0.03125,0,2.329636812210083,0,0.21635454893112183,0,0.08654181957244873,0.21635454893112183,15.086314652878231,15.08326530456543,0.0003427781235008113,249.1392948627472,1.027537627659388
16,1763787275.4619675,18.703399658203125,3.920726776123047,7.146938800811768,2.6163036823272705,5.019431114196777,12.090354347229004,3.685073971748352,50.437087931992885,5.656413076593293,39.84806442260742,5.316437944350343,0.03125,0,17.8878173828125,0,0.21031920611858368,0,0.08412768244743347,0.21031920611858368,13.833050266871417,13.800597190856934,0.004235091226482576,247.20312309265137,1.0355856220475483
17,1763789151.737582,18.464282989501953,3.7146804332733154,7.357877731323242,2.6716065406799316,4.72011661529541,,,41.04546822240342,5.359151039570678,,,0.03125,0,2.705688953399658,0,0.20388606935739517,0,0.08155442774295807,0.20388606935739517,13.659258277622477,13.656078338623047,0.001630209985868842,247.7263307571411,1.0333984248568635
18,1763789400.9111362,17.088329315185547,3.822312831878662,7.380502700805664,2.6588294506073,3.2266833782196045,12.4030686378479,3.6051239728927613,45.709805254560116,5.514431767277596,36.7862434387207,5.201094477482305,0.03125,0,2.07928466796875,0,0.19708511978387833,0,0.07883404791355134,0.19708511978387833,11.808428684758642,11.79162883758545,0.0005827013777946255,249.1735541820526,1.0273963496662242
19,1763791274.5649946,17.512165069580078,3.574638843536377,7.514713764190674,2.6441452503204346,3.778668165206909,,,35.681731800247434,5.15711373253899,,,0.03125,0,2.0433552265167236,0,0.18994808942079544,0,0.07597923576831818,0.18994808942079544,13.644146137990745,13.637670516967773,0.0006255356916251287,248.64845395088196,1.0295660235658262
20,1763791524.2923694,17.05971908569336,3.6241307258605957,7.776417255401611,2.631584882736206,3.0275866985321045,11.766478443145752,3.5222934007644655,37.492118061607435,5.228515425732401,33.861995697021484,5.081595221838817,0.0312500037252903,0,2.2749462127685547,0,0.18250823393464088,0,0.07300329357385636,0.18250823393464088,11.581520821383286,11.577306747436523,0.0001637933004975104,249.727374792099,1.025117891913624
21,1763793418.6217148,16.757308959960938,3.5405654907226562,7.478663921356201,2.661217451095581,3.076861619949341,,,34.486415425848826,5.107956275408175,,,0.03125,0,2.4524621963500977,0,0.17480024695396423,0,0.0699200987815857,0.17480024695396423,11.65401325049934,11.646406173706055,4.4526583102577406e-05,250.89555168151855,1.0203449135876308
22,1763793666.323293,16.09531593322754,3.615426540374756,7.473932266235352,2.669217348098755,2.3367397785186768,10.689744758605958,3.486682176589966,37.16719585473737,5.2159579404970025,32.67734909057617,5.030219085322281,0.03125,0,2.4679713249206543,0,0.16686007753014565,0,0.06674403101205827,0.16686007753014565,10.88812473915074,10.872939109802246,4.840981225220566e-05,247.7015781402588,1.0335016915194715
